[21-Feb-2018 17:10:41 UTC] PHP Parse error:  syntax error, unexpected ',' in /home/ubuntu/workspace/Assignment/2/inc/functions.php on line 21
[07-Apr-2018 06:43:26 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:43:26 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:44:22 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:44:22 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:44:38 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:44:38 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:44:58 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:44:58 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:10 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:10 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:28 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:28 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:32 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:32 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:45 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:45:45 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:46:14 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:46:14 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:46:33 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:46:33 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:46:52 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:46:52 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:47:28 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:47:28 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:47:40 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:47:40 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:47:47 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:47:47 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:48:15 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:48:15 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:48:20 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:48:20 UTC] PHP Warning:  include(): Failed opening 'inc/functions.php' for inclusion (include_path='.:/usr/share/php') in /home/ubuntu/workspace/Assignment/4/index.php on line 2
[07-Apr-2018 06:48:56 UTC] PHP Warning:  include(inc/functions.php): failed to open stream: No such file or directory in /home/ubuntu/workspace/Assignment/4/index.php on line 2
